Source,Status
41,Researcher
201,Graduate Student
232,Researcher
286,Researcher
65,Researcher
132,Graduate Student
212,Researcher
264,Researcher
1,Researcher
149,Graduate Student
46,Researcher
131,Researcher
228,Researcher
268,Researcher
210,Graduate Student
238,Researcher
292,Researcher
190,Researcher
117,Graduate Student
29,Researcher
44,Researcher
173,Researcher
179,Researcher
226,Researcher
252,Researcher
276,Researcher
291,Researcher
304,Researcher
86,Graduate Student
309,Researcher
90,Graduate Student
72,Researcher
168,Researcher
223,Researcher
25,Researcher
274,Researcher
283,Researcher
43,Researcher
254,Researcher
40,Researcher
94,Researcher
34,Researcher
169,Researcher
204,Researcher
253,Researcher
277,Researcher
302,Researcher
279,Researcher
213,Graduate Student
209,Researcher
146,Researcher
150,Researcher
307,Researcher
39,Researcher
101,Researcher
301,Researcher
162,Researcher
157,Graduate Student
205,Researcher
239,Researcher
32,Graduate Student
269,Researcher
289,Researcher
308,Researcher
112,Graduate Student
61,Graduate Student
42,Graduate Student
64,Researcher
143,Graduate Student
224,Researcher
27,Graduate Student
62,Researcher
142,Researcher
159,Researcher
299,Researcher
155,Graduate Student
54,Researcher
89,Researcher
248,Researcher
3,Graduate Student
272,Researcher
128,Graduate Student
116,Graduate Student
92,Graduate Student
172,Graduate Student
66,Graduate Student
181,Researcher
26,Researcher
195,Researcher
263,Researcher
216,Researcher
19,Researcher
71,Graduate Student
28,Graduate Student
9,Graduate Student
154,Researcher
12,Graduate Student
170,Researcher
76,Graduate Student
134,Graduate Student
56,Graduate Student
136,Graduate Student
91,Graduate Student
200,Graduate Student
24,Graduate Student
140,Graduate Student
161,Graduate Student
14,Graduate Student
36,Graduate Student
114,Graduate Student
305,Graduate Student
163,Graduate Student
306,Graduate Student
222,Graduate Student
87,Graduate Student
189,Graduate Student
194,Graduate Student
137,Graduate Student
158,Graduate Student
246,Graduate Student
258,Graduate Student
4,Graduate Student
167,Researcher
38,Graduate Student
57,Graduate Student
192,Graduate Student
217,Graduate Student
227,Graduate Student
237,Graduate Student
280,Graduate Student
290,Graduate Student
295,Graduate Student
219,Graduate Student
234,Graduate Student
231,Graduate Student
257,Graduate Student
287,Graduate Student
235,Graduate Student
229,Graduate Student
221,Graduate Student
47,Researcher
123,Graduate Student
249,Graduate Student
267,Graduate Student